(0.504079, 0.488009, 13.504640)
(0.503920, 0.488931, 13.504850)
(0.505352, 0.490330, 13.663930)
(0.505815, 0.491436, 14.083620)
(0.505959, 0.488220, 13.811530)
(0.505799, 0.484253, 13.395640)
(0.504440, 0.480106, 12.867390)
(0.503480, 0.480481, 12.957140)
(0.502622, 0.485876, 13.468990)
(0.501715, 0.487366, 13.614970)
(0.500983, 0.490410, 13.898830)
(0.000000, 0.000000, 0)
(0.604023, 0.514792, 17.383100)
(0.638827, 0.523432, 19.681340)
(0.638850, 0.527667, 20.734500)
(0.639680, 0.529403, 21.465470)
(0.639252, 0.528784, 21.699150)
(0.639209, 0.527905, 21.346490)
(0.638060, 0.525519, 20.976700)
(0.637999, 0.525593, 20.927010)
(0.000000, 0.000000, 0)
(0.000000, 0.000000, 0)
(0.497925, 0.541774, 20.472370)
(0.450009, 0.545437, 12.891610)
(0.449445, 0.547321, 12.875120)
(0.449176, 0.549211, 12.894440)
(0.449004, 0.549643, 12.917970)
(0.472376, 0.544472, 13.643320)
(0.000000, 0.000000, 0)
(0.614641, 0.511666, 18.989280)
(0.681160, 0.493631, 16.353280)
(0.679156, 0.493352, 16.412450)
(0.678288, 0.492408, 16.151270)
(0.678085, 0.490915, 16.097440)
(0.677890, 0.490827, 16.210310)
(0.677624, 0.492318, 15.963200)
(0.675856, 0.493008, 16.138620)
(0.637648, 0.511281, 18.854200)
(0.613425, 0.525535, 21.711130)
(0.610933, 0.530976, 23.078040)
(0.611098, 0.533386, 23.604570)
(0.611547, 0.534029, 23.797050)
(0.611682, 0.533122, 23.878640)
(0.520512, 0.538055, 20.249590)
(0.430445, 0.538276, 12.470520)
(0.410970, 0.531012, 11.978960)
(0.411010, 0.529006, 11.968880)
(0.413107, 0.525484, 12.032260)
(0.413107, 0.525484, 12.049090)
(0.413107, 0.525484, 12.065770)
(0.413107, 0.525484, 12.065770)
(0.413107, 0.525484, 12.065770)
(0.413107, 0.525484, 12.065770)
(0.408885, 0.528604, 11.997390)
(0.408185, 0.525940, 11.968760)
(0.505298, 0.501387, 16.893590)
(0.578188, 0.484384, 14.931460)
(0.608537, 0.481561, 14.778360)
(0.608934, 0.481363, 14.622870)
(0.611206, 0.479747, 14.331480)
(0.610797, 0.480551, 14.450430)
(0.610842, 0.481896, 14.600350)
(0.610198, 0.481587, 14.511350)
(0.609749, 0.480637, 14.318550)
(0.609393, 0.481388, 14.438380)
