(0.504079, 0.488009, 8.718152)
(0.503920, 0.488931, 9.054063)
(0.505352, 0.490330, 2.965071)
(0.505815, 0.491436, 8.130058)
(0.505959, 0.488220, 11.144670)
(0.505799, 0.484253, 17.422530)
(0.504440, 0.480106, 16.219300)
(0.503480, 0.480481, 11.738970)
(0.502622, 0.485876, 11.413870)
(0.501715, 0.487366, 13.687120)
(0.500983, 0.490410, 3.406375)
(0.000000, 0.000000, 0)
(0.604023, 0.514792, 7.851906)
(0.638827, 0.523432, 26.054830)
(0.638850, 0.527667, 24.380280)
(0.639680, 0.529403, 3.413072)
(0.639252, 0.528784, 30.511650)
(0.639209, 0.527905, 13.247830)
(0.638060, 0.525519, 5.533397)
(0.637999, 0.525593, 7.951251)
(0.000000, 0.000000, 0)
(0.000000, 0.000000, 0)
(0.497925, 0.541774, 38.288930)
(0.450009, 0.545437, 10.538140)
(0.449445, 0.547321, 6.002990)
(0.449176, 0.549211, 22.467300)
(0.449004, 0.549643, 9.310760)
(0.472376, 0.544472, 30.861040)
(0.000000, 0.000000, 0)
(0.614641, 0.511666, 23.988060)
(0.681160, 0.493631, 21.914580)
(0.679156, 0.493352, 13.179240)
(0.678288, 0.492408, 11.012180)
(0.678085, 0.490915, 19.925460)
(0.677890, 0.490827, 18.623040)
(0.677624, 0.492318, 6.043982)
(0.675856, 0.493008, 6.292608)
(0.637648, 0.511281, 20.438280)
(0.613425, 0.525535, 34.413640)
(0.610933, 0.530976, 25.608290)
(0.611098, 0.533386, 15.398310)
(0.611547, 0.534029, 23.913580)
(0.611682, 0.533122, 6.859747)
(0.520512, 0.538055, 4.670837)
(0.430445, 0.538276, 7.641504)
(0.410970, 0.531012, 9.517861)
(0.411010, 0.529006, 3.528584)
(0.413107, 0.525484, 15.652070)
(0.413107, 0.525484, 12.153640)
(0.413107, 0.525484, 13.017290)
(0.413107, 0.525484, 3.507398)
(0.413107, 0.525484, 3.417073)
(0.413107, 0.525484, 20.729750)
(0.408885, 0.528604, 16.864350)
(0.408185, 0.525940, 32.000120)
(0.505298, 0.501387, 8.361375)
(0.578188, 0.484384, 14.495170)
(0.608537, 0.481561, 3.310537)
(0.608934, 0.481363, 11.576030)
(0.611206, 0.479747, 3.208850)
(0.610797, 0.480551, 14.452480)
(0.610842, 0.481896, 7.232336)
(0.610198, 0.481587, 12.808840)
(0.609749, 0.480637, 3.567498)
(0.609393, 0.481388, 13.247950)
(0.606483, 0.485546, 14.097420)
(0.603142, 0.485646, 9.304235)
(0.596828, 0.485767, 4.596127)
(0.532851, 0.491380, 5.538993)
(0.456743, 0.498496, 25.687040)
(0.457153, 0.500399, 2.906678)
(0.457890, 0.507715, 13.571250)
(0.459076, 0.510474, 16.516950)
(0.460113, 0.507996, 26.742710)
(0.461282, 0.508309, 9.471379)
(0.459792, 0.507637, 4.533137)
(0.458432, 0.504897, 8.360825)
(0.457909, 0.506916, 8.516049)
(0.457728, 0.509701, 13.436630)
(0.456615, 0.511859, 6.865680)
(0.466112, 0.513987, 12.527750)
(0.528083, 0.513044, 14.708290)
