(0.492834, 0.579353)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.487002, 0.578765)
(0.510984, 0.622352)
(0.599453, 0.704041)
(0.599453, 0.704041)
(0.599453, 0.704041)
(0.599453, 0.704041)
(0.599453, 0.704041)
(0.599453, 0.704041)
(0.599453, 0.704041)
(0.599453, 0.704041)
(0.599453, 0.704041)
(0.599453, 0.704041)
(0.000000, 0.000000)
(0.618037, 0.743450)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.664315, 0.750363)
(0.706570, 0.735590)
(0.000000, 0.000000)
(0.720971, 0.723411)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.725996, 0.672704)
(0.699282, 0.671586)
(0.687672, 0.671276)
(0.659482, 0.668404)
(0.636585, 0.668218)
(0.000000, 0.000000)
(0.689118, 0.657398)
(0.687538, 0.656296)
(0.697558, 0.651575)
(0.685531, 0.650980)
(0.000000, 0.000000)
(0.650277, 0.654650)
(0.621499, 0.654377)
(0.604708, 0.655374)
(0.587972, 0.650322)
(0.577762, 0.647602)
(0.568777, 0.645971)
(0.572358, 0.637492)
(0.565543, 0.633922)
(0.556301, 0.633551)
(0.547571, 0.635397)
(0.539598, 0.635753)
(0.539598, 0.635753)
(0.527874, 0.636424)
(0.527874, 0.636424)
(0.516806, 0.636347)
(0.514435, 0.636229)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.571236, 0.634326)
(0.650292, 0.637163)
(0.670208, 0.639335)
(0.669625, 0.638341)
(0.668286, 0.637379)
(0.667160, 0.635833)
(0.666909, 0.635916)
(0.667319, 0.636576)
(0.669107, 0.638801)
(0.671726, 0.640769)
(0.673550, 0.640540)
(0.676237, 0.638861)
(0.000000, 0.000000)
(0.570215, 0.682331)
(0.535641, 0.700227)
(0.540252, 0.704297)
(0.549424, 0.708274)
(0.554635, 0.709024)
(0.565786, 0.711582)
(0.572607, 0.712174)
(0.578946, 0.711077)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.549845, 0.680949)
(0.543097, 0.676281)
(0.542368, 0.668667)
(0.530659, 0.645979)
(0.527635, 0.643780)
(0.527735, 0.644239)
(0.528970, 0.644552)
(0.532361, 0.644411)
(0.535716, 0.644639)
(0.541746, 0.644463)
(0.545683, 0.644338)
(0.550645, 0.644656)
(0.553081, 0.644770)
(0.557335, 0.643015)
(0.558589, 0.642847)
(0.562562, 0.643400)
(0.565012, 0.643729)
(0.569819, 0.643363)
(0.573135, 0.642756)
(0.576711, 0.641891)
(0.580620, 0.641040)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.505449, 0.661493)
(0.462224, 0.678077)
(0.467361, 0.680521)
(0.473770, 0.681976)
(0.480623, 0.682061)
(0.487852, 0.681727)
(0.496005, 0.682861)
(0.504311, 0.684051)
(0.511383, 0.684719)
(0.519363, 0.685654)
(0.528376, 0.686524)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.504570, 0.673347)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.382254, 0.646760)
(0.467011, 0.649934)
(0.000000, 0.000000)
(0.451283, 0.651260)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.442472, 0.666674)
(0.454010, 0.669694)
(0.000000, 0.000000)
(0.452742, 0.662218)
(0.470877, 0.667704)
(0.499142, 0.664323)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.552408, 0.655102)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.553931, 0.655349)
(0.416827, 0.635450)
(0.422360, 0.635964)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.433440, 0.631132)
(0.000000, 0.000000)
(0.445185, 0.625654)
(0.476310, 0.629197)
(0.000000, 0.000000)
(0.511197, 0.625954)
(0.536564, 0.621969)
(0.548218, 0.621656)
(0.000000, 0.000000)
(0.495289, 0.665496)
(0.480675, 0.677883)
(0.483882, 0.673609)
(0.487413, 0.671491)
(0.492447, 0.671280)
(0.496042, 0.673158)
(0.496695, 0.672298)
(0.000000, 0.000000)
(0.497763, 0.671640)
(0.695184, 0.658153)
(0.683222, 0.658799)
(0.672829, 0.657199)
(0.672829, 0.657199)
(0.652349, 0.655594)
(0.000000, 0.000000)
(0.632901, 0.653058)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.703873, 0.659098)
(0.000000, 0.000000)
(0.687407, 0.657031)
(0.000000, 0.000000)
(0.685141, 0.656807)
(0.705070, 0.659564)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.630255, 0.606348)
(0.000000, 0.000000)
